company,address,telephone,country
Kalikund-Steel,"Shop No. 5, Lehri Bldg., 274/90, S.V.P. Road, 5th Khetwadi Road, Mumbai - 400 004, Maharashtra (India), mumbai,  400004,  India",02266109605,India
Kalikund Steel Branch,"Shop No. 5, Lehri Bldg., 274/90, S.V.P. Road, 5th Khetwadi Road, Mumbai - 400 004, Maharashtra (India), Mumbai,  400004,  India",02266109605,India
Sieg's MAnufacturing LTD,"6236 205 street, langley, BC V2Y1N7,  Canada",6045307455,Canada
NW Etch,"2601 South Hood Street, Tacoma, WA 98409,  United States",8003432401,United States
BT tradingllc,"Sheikh Rashid bin Humaid, Al Nuaimi Street, Nakheel, Ajman, United Arab Emirates, dubai,  07112,  United Arab Emirates",529661053,United Arab Emirates
"Stylmark, Inc.","6536 Main St NE, PO Box 32008, Minneapolis, MN 55432,  United States",7635864892,United States
"Sixnel Precision Sheet Metal, Inc.","5415 NW 15th Street, Suite 6, Margate, 33063,  United States",+1-954-9700409,United States
"TyTek Industries, Inc","4700 Ashwood Drive, Cincinnati, OH 45241,  United States",(513) 874-7326,United States
Tedray Roofing Nails Co.,"103 East of Nanhuan Road, Dezhou, Shandong, China, Dezhou,  253000,  China",+86-534-01535171,China
Boyi Prototypes,"TaiAn Industrial Street, YongTou Coummnity,ChangAn town, Dongguan,  523000,  China",0769-85351519,China
turgibega AG,"Giessereistrasse 1, Kestenholz,  4703,  Switzerland",+41 62 393 1206,Switzerland
Manufacturas Estampadas s.a. de c.v. (Manesa),"Juan Ruiz de Alarcon, Complejo Industrial Chihuahua, Chihuahua,  31136,  Mexico",+526144811449 ext. 120,Mexico
Gilgen Door Systems UK Ltd,"Crow House, Crow Arch Lane, Ringwood,  BH24 1PD,  United Kingdom",01425 462000,United Kingdom
"COSCO (J.M) Aluminium CO., Ltd","No.22 Gaosha Zhong Road, Jiangmen, Guangdong,  529030,  China",+86 0750 3130209,China
"Elmet Aluminio, SA de CV","CARRETERA APODACA A STA. ROSA KM 3, CENTRO, APODACA,  66600,  Mexico",528112955100,Mexico
Aludium - Premium Aluminium,"Prof J.H. Bavincklaan 2-4, Amstelveen,  1183AT,  Netherlands",+31 20 7237 218,Netherlands
Crucible Metal Solutions,"990 Valley Road, Menasha, WI 54952,  United States",(920) 730-0770,United States
TCI Precision Metals,"240 E Rosecrans Ave, Gardena, CA 90248,  United States",3103235613,United States
TDS Specialty Metals,"725 Massman Drive, Nashville, TN TN,  United States",(615) 883-9510,United States
Yudemei Chain Link Fencing Factory,"No.123 Weixi Street, Dezhou, China, dezhou,  253000,  China",0086-534-678989,China
MetalMart,"5828 Smithway St, Commerce, CA 90040,  United States",5626929081,United States
Anchor Fence Inc.,"26345 Plymouth Rd, Redford Charter Twp, MI 48239,  United States",3139370101,United States
Industrial Steel,"3561 Industrial Road, Titusville, FL 32796,  United States",321-267-2341,United States
DongXin Field Fence Factory,"201 of Luoerjia Building, South of Development Zone, China, Dezhou,,  253000,  China",0086-0534-263688,China
"Xiamen Stick Industry Co.,Ltd","Unit 05C,5th Floor,Hai Fu Business Center, A 597 Si Shui Road,Xiamen,China, Xiamen,  361006,  China",+86--15960227166,China
ZONOZ International Pte Ltd,"50 East Coast Road #02-57 Roxy Square, Singapore,  S428769,  Singapore",+65-96868-200,Singapore
"Altal Aluminium Co., Ltd.","No. 157 Wenhuabei Road, Foshan,, Guangdong, China, Foshan,  528000,  China",+86-757-89961323,China
"ShenZhen Goldview Technology Co., Ltd","Rm 211, Blk B.Intelig Technology Digital Park, Futian Free Trade Zone, ShenZhen,  518031,  China",+86-755-82838454,China
"Luoyang Shoulong Aluminium Industry Co.,Ltd.","shouyangshan, Yanshi, Luoyang, Henan, China, Yanshi (Luoyang),  471943,  China",+86-379-67569966,China
Zibo Denuo Aluminium Corporation,"No. 19, Kaifaqu North road, Zibo New Hi-tech Zone, Zibo, Shandong,China, Zibo,  255086,  China",+86-533-6073591,China
cmf Group Limited,"502, #22, 128 Longrui Road, Shanghai, Shhanghai,  200233,  China",+86-21-33682591,China
AAMSTECH SOLUTIONS,"56, BR PURAM ,PEELAMEDU,, COIMBATORE,TAMILNADU,  641004,  India",+91-422-2596478,India
Adal Group Inc,"Crittall Road, Witham,  CM8 3AW,  United Kingdom",+44-376-515141,United Kingdom
Adolf Kainz GmbH & Co.KG,"Spreestrasse 17-19, Geretsried,  82538,  Germany",+49-8171-93330,Germany
"All Foils, Inc.","4597 Van Epps Road, Brooklyn Heights, Ohio, 44131,  United States",+1-216-6610211,United States
ALMEC SpA,"Z. Ind. F.1, Nusco,  83051,  Italy",+39-0827-607005,Italy
Baron Industries,"949 Mandoline, Madison Hts., 48071,  United States",+1248-585-0444,United States
cacciola iron works,"65 north 9th st, Paterson, new jersey, 07522,  United States",None,United States
"CAIPING ENTERPRISE CO., LTD.","5F, NO. 28, LANE 513, REIGUANG RD., TAIPEI,  114,  Taiwan",+886-2-27998000,Taiwan
Chicago Aluminum Castings Co Inc,"2647 W Ogden Ave, Chicago    Illinois, 60608,  United States",+1-800-5710242,United States
"Chips Global Co., ltd.","509-1, No. 148, Sec.4 Chunghsiao East Road, Taipei,  106,  Taiwan",+886-2-27737242,Taiwan
"Cixi Boda Industry Co.,Ltd.","Zonghan industry zone,Ningbo, Zhejiang, cixi,  315301,  China",+86-574-23710228,China
Cooper B-Line,"509 West Monroe, Highland, 62249,  United States",+1-618-6542184,United States
Dee Pee Foils (india),"76,Pt.Purushottam Roy Street, Kolkata,  700007,  India",+91-33-22706338,India
Depasse Belgium,"rue des vieux pres 103, LEGLISE,  6860,  Belgium",+32-63-433961,Belgium
"DO-FLUORIDE CHEMICALS CO., LTD","ZHONGZHAN DISTRICT,JIAOZUO,HENAN,CHINA, JIAOZUO  mrhou@sohu.com,  454191,  China",+86-391-2802245,China
"Dong Jun Industrial Co., Ltd.","101HO, NAMDONG PAT IND. AREA 45BL 6L #435-6 NONHYONGDONG NAMDONG GU, INCHEON,  405-300,  South Korea",+82-32-8199043,South Korea
FIMA spa,"Via Sacco e Vanzetti 16/A, Ghiardo Di Bibbiano Reggio Emilia,  42021,  Italy",+39-0522-882356,Italy
FONDERIE CONDY S.R.L.,"VIA GUGLIELMO MARCONI, 56/58, PIEVE A NIEVOLE,  51018,  Italy",+39-0572-80669,Italy
"industrias SEUR>, s.a","Eziago 7, Hernani,  E-20120,  Spain",+34-943-332474,Spain
KenWalt Die Casting Corporation,"8719 Bradley Ave., Sun Valley, 91352,  United States",+1800-536-9258,United States
Layward Limited,"33 Ferndale Avenue, Chertsey,  KT16 9RA,  United Kingdom",+44-1932-567972,United Kingdom
Midpoint Chemicals Company,"Timber  View, Oak Brook, Illinois, 60523,  United States",+1-630-7580400,United States
Odlewnia Å»eliwa i Metali NieÅ¼elaznych SPOMEL S.P.,"ul. Abrahama 15, LÄ™bork,  84-300,  Poland",+48-59-8621062,Poland
Parts & Components,"Dammestraat 80, Roeselare,  8800,  Belgium",+32-51-267272,Belgium
PC North,"Mabini St,, Tuguegarao City,  3500,  Philippines",+63-078-8443275,Philippines
PSI Extrusions,"PO Box 870, Frisco, 75034,  United States",+1-972-7127900,United States
Sahin Engine Bearings Co.,"Istanbul Cad. Sirasogutler Mah. No:79, Kocaeli,  41410,  Turkey",+90-262-6533361,Turkey
"Shijiazhuang ShengRi Trading Co.,Ltd.","25-2D No.10 ShiFang Road, Shijiazhuang, Hebei,  050000,  China",+86-311-6820033,China
"SLM CO., LTD.","562-1, Wangkil-dong, Seo-ku, Inchon, Korea, Inchon,  404-150,  South Korea",+82-32-5675871,South Korea
SME PYRO CHEMICALS PRIVATE LIMITED,"2/503,NATESAN COLONY,CHENNAI-41, CHENNAI,  600041,  India",+91-44-43590141,India
Specialvalimo J.Pap Oy,"Niittyrinne 3, Espoo,  02270,  Finland",+358-9-86764430,Finland
"Stick Industry (Xiamen) Co.,","601 Jinxiu Jinshan,208 Jinshan Xisan Road,, Xiamen,  361006,  China",+86-138-60138705,China
Tollfab Pty Ltd,"6-24 Antoine Street, Rydalmere,  2116,  Australia",+61-02-88461000,Australia
"Traffco Products, LLC","7731 South Chicago Ave., Chicago, 60619,  United States",+1773-374-6645,United States
"Universal Die Casting Co., Inc.","2052 E. Vernon Avenue, Los Angeles, 90058,  United States",+1-323-2313435,United States
Vimareka,"Sodo 22, Ðiauliai,  76178,  Lithuania",+370-41-507745,Lithuania
Waldale Manufacturing Ltd.,"17 Tantramar Crescent, Amherst, B4H 4J6,  Canada",+1-902-6673307,Canada
"Wuxi guangtong communication material Co., ltd","Nanquan county Wuxi city Jiangsu province China, Wuxi,  214128,  China",+86-510-85954315,China
STREFA s.r.o.,"Mladobucká 666, Trutnov,  541 02,  Czech Republic",420777699096,Czech Republic
Alucomplast s.r.o.,"Jáchymovská 202/1, Ostrov,  363 01,  Czech Republic",420775715120,Czech Republic
v-tech s.r.o.,"Přerov nad Labem 340, P?erov nad Labem,  289 16,  Czech Republic",420732834656,Czech Republic
Pavel Jeřábek - kovoobrábění,"Havlíčkova 170, Kolín,  280 02,  Czech Republic",420603891769,Czech Republic
A + A Pardubice spol. s r.o.,"Chrudimská 146, Pardubice,  530 02,  Czech Republic",420602657015,Czech Republic
"Hongik Czech, s.r.o.","Závodní 540/51, Karviná,  735 06,  Czech Republic",420597481410,Czech Republic
NPS PROAL s.r.o.,"Koněvova 280/103, Ostrava - He?manice,  713 00,  Czech Republic",420596617075,Czech Republic
Alváris Profile Systems s.r.o.,"Vratimovská 624/11, Ostrava - Kun?i?ky,  718 00,  Czech Republic",420596542385,Czech Republic
"MONT-KOVO, spol. s r.o.","Břest 81, B?est,  768 23,  Czech Republic",420573354484,Czech Republic
MASTRS s.r.o.,"Hybrálec E 64, Vyskytná nad Jihlavou,  588 41,  Czech Republic",420567211338,Czech Republic
Besta Trade s.r.o.,"Příborská 1494, Frýdek - Místek,  738 01,  Czech Republic",420558672699,Czech Republic
AXEL GROUP s.r.o.,"Frýdlantská 1237, Frýdek - Místek,  738 01,  Czech Republic",420558431118,Czech Republic
HORST HERMANN s.r.o.,"Žihla 931, Jablunkov,  739 91,  Czech Republic",420558357794,Czech Republic
"SALU Systems, s.r.o.","Žihla 992, Jablunkov,  739 91,  Czech Republic",420558326377,Czech Republic
Alumia cz s.r.o.,"Nádražní 47/3, ?eský T?šín,  737 01,  Czech Republic",420555508790,Czech Republic
Alcom Alval s.r.o.,"Krnovská 1397/47, Bruntál,  792 01,  Czech Republic",420554773052,Czech Republic
"AL INVEST BŘIDLIČNÁ, a.s.","Bruntálská 167, B?idli?ná,  793 51,  Czech Republic",420554221111,Czech Republic
Sapa Building Systems Brno spol. s r.o.,"Holandská 859/3, Brno,  639 00,  Czech Republic",420543217337,Czech Republic
AWEC Aluminium Products s.r.o.,"Haškova 153/17, Brno,  638 00,  Czech Republic",420532291170,Czech Republic
"AEROPROFIL, s.r.o.","Za Drahou 1415, Strážnice,  696 62,  Czech Republic",420518334291,Czech Republic
GLEICH Aluminium s.r.o.,"České mládeže 1096, Liberec,  463 12,  Czech Republic",420488578985,Czech Republic
MSV SYSTEMS CZ s.r.o.,"Obchodní 606, Liberec,  460 11,  Czech Republic",420486131180,Czech Republic
moas cs s.r.o.,"Lučany nad Nisou 352, Lu?any nad Nisou,  468 71,  Czech Republic",420483705664,Czech Republic
Ing. Martin Bělina - ASKMT,"Jiráskova 413, Litvínov,  436 01,  Czech Republic",420476700494,Czech Republic
ALUCAD Bohemia s.r.o.,"Jana Zajíce 712, Pardubice,  533 51,  Czech Republic",420469631113,Czech Republic
"FERAR CZ, s.r.o.","Oldřichovice 130, Ústí nad Orlicí,  562 01,  Czech Republic",420465526627,Czech Republic
Aluminium centrum s.r.o.,"Purkyněho 1161, Žatec,  438 01,  Czech Republic",420415710170,Czech Republic
PYRAMIDA s.r.o.,"Domažlická 1225/167, Plze?,  318 00,  Czech Republic",420377455059,Czech Republic
ARREDA SYSTEMS s.r.o.,"Dukelská 1262, Rokycany,  337 01,  Czech Republic",420377223131,Czech Republic
apt Products s.r.o.,"Dolní Dvory, Průmyslový park 22, Cheb,  350 02,  Czech Republic",420354408411,Czech Republic
UACJ Extrusion Czech s.r.o.,"Průmyslová 1010, Benátky nad Jizerou,  294 71,  Czech Republic",420326570410,Czech Republic
"STER metal, s.r.o.","U Stadiónu 147, Ho?ovice,  268 01,  Czech Republic",420311514318,Czech Republic
"ALUMEX, spol. s r.o.","Měšická 408, Líbeznice,  250 65,  Czech Republic",420283981042,Czech Republic
Karel Dub - KLEPRO,"Ke Dračkám 1443, Praha 5,  156 00,  Czech Republic",420257923276,Czech Republic
"KERAMET, spol. s r.o.","Pod Třešněmi 616/9, Praha 5,  154 00,  Czech Republic",420251680101,Czech Republic
PROFIMET s.r.o.,"Na Suchých 271, Vestec, Jesenice u Prahy,  252 42,  Czech Republic",420241931140,Czech Republic
Prefa Aluminiumprodukte s.r.o.,"K Zelenči 2883/14, Praha 9,  193 00,  Czech Republic",420234496501,Czech Republic
MAROLA GENERAL ACTIVITIES SRL,"Drum Centura Chitila - Mogosoaia, Nr: 3-5, CHITILA,  77045,  Romania",40740105589,Romania
"Fabrica Accesorios Doble Acristalamiento, S.A.","C/ Peña Santa, Parcela 3 P I De, Llanera,  33690,  Spain",34985264960,Spain
"Distribuidora Asturiana De Accesorios Del Aluminio, S.L.","Avda. Constitucion 67, Gijón,  33208,  Spain",34985140700,Spain
"Riegos Agrícolas Españoles, S.A.","Ctra. Santander Km 14, Fuentes de Valdepero,  34419,  Spain",34979706060,Spain
"Aluminio Balear, S.A.","Camino Vell De Bunyola 41, Palma de Mallorca,  7009,  Spain",34971430825,Spain
"Extrusionados Y Tratamientos Del Color, S.A.","C/ Plind Jaira Ctra De Santo A Abanilla, Abanilla,  30640,  Spain",34968684001,Spain
"Aluminio Y Accesorios Del Mediterraneo, S.L.","C/ Dracma 55, Parcela 69 A 74, Alicante/Alacant,  3114,  Spain",34965170026,Spain
"Aluplex, S.L.","Ctra. Nacional Iii, Km 312, Chiva,  46370,  Spain",34962522852,Spain
"Cristalerías Cruces, S.A.","Ctra. De San Amaro 34, Ceuta,  51001,  Spain",34956513605,Spain
"Extruperfil, S.A.","Cra. Sevilla Cadiz Km 552, ,6 Nacional Iv Sevilla Dos Hermanas, Dos Hermanas,  41700,  Spain",34954919999,Spain
"Precicast Bilbao, S.A.","C/ El Barracon 1, Bj, Barakaldo,  48000,  Spain",34944184314,Spain
"Bialur, S.A.","Avda. Rekalde 33, Local 2 C, Donostia/San Sebastián,  20018,  Spain",34943370363,Spain
"Grifell Pons, S.L.","Pol. Ind. Santa Anna 4, Cl De La Coma, Sant Fruitós de Bages,  8272,  Spain",34938760099,Spain
"Tecniques D'estampacio I Embuticio De Metalls, S.A.","C/ Ter 165, Pol Ind Matabosch, Torelló,  8570,  Spain",34938592624,Spain
"Provedal, S.A.","Ctra. Granollers Sant Celoni Km1 900, Franqueses del Vallčs, Les,  8520,  Spain",34938494622,Spain
"Manipulados Y Acabados Metalicos Mam, S.L.","C/ Puig Dels Tudons 5, Talleres 8 Nave 14-16, Barber? del Vallčs,  8210,  Spain",34937192560,Spain
"Centro Alum, S.A.","C/ Bernat De Rocaberti 2, 4,6 Y 8, Sabadell,  8205,  Spain",34937122911,Spain
"Sinerges Técnicas De Montajes, S.A.","C/ Rda Santa Eulalia 35, Naves 2 Y 3, Pallej?,  8780,  Spain",34936633500,Spain
"Hiper Aluminio, S.A.","C/ Corcega 561, Local, Barcelona,  8025,  Spain",34933474856,Spain
Sapa Holdings Spain,"Cormoranes 18, Pol.Ind. La Estación, PINTO,  28320,  Spain",34916915411,Spain
"Laminaciones Sammo, S.L.","Ctra. Fuenlabrada Humanes, Km 0 900 Nave, Humanes de Madrid,  28970,  Spain",34916041180,Spain
"Cofresco Ibérica, S.A.","C/ San Rafael 1, Pl Baja Local B Edf Europa Iii, Alcobendas,  28108,  Spain",34914901610,Spain
"Aliberico Food Packaging, S.L.","C/ Cuba, Alcalá de Henares,  28806,  Spain",34911045050,Spain
"Canarias De Papel Y Plásticos, S.L.","C/ Plind Montaña Blanca Parc, Arucas,  35400,  Spain",34902365538,Spain
SK d.o.o.,"Pleš 20, Hinje,  8362,  Slovenia", 386 73043127,Slovenia
SLAVEC MF d.o.o. Pivka,"Trnje 3A, Pivka,  6257,  Slovenia", 386 57570510,Slovenia
LOVEX d.o.o.,"Otlica 4, Ajdovš?ina,  5270,  Slovenia", 386 53331124,Slovenia
"VOTLICA JESENICE, d.o.o.","Cesta Franceta Prešerna 60, Jesenice,  4270,  Slovenia", 386 45835130,Slovenia
IMPOL d.o.o.,"Partizanska ulica 38, Slovenska Bistrica,  2310,  Slovenia", 386 28453100,Slovenia
